"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2146.35063632769/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x7e87fdc641da96e72d8c9f00a4031d124796f0ec2fc6a39fe90215f1a8cd73b0","24386212","1770241115","2026-02-04 21:38:35","0x3b821941578c09f39c1dadb174f64a575307610b","0x3fb847c3fb6e8bc02b18e7af663a1eaa06e42529","","0.002336273923444976","0","5.01446302222191","0.000010113326244","0.0217067442191989","2144.01","","","Transfer"
"0xe79cfe2d6646f43ba7ad717c25e6bb3871b6028af3fa328efb3dc4de538a24f7","24386320","1770242423","2026-02-04 22:00:23","0x3fb847c3fb6e8bc02b18e7af663a1eaa06e42529","0x69460570c93f9de5e2edbc3052bf10125f0ca22d","","0","0.001168136961722488","2.50723151111096","0.000232284260844545","0.498563471072596","2144.01","","","On Chain Swaps"
"0x20c7887245d47e381535a023436c2ec015c200ad1d08232f7631a2f13899cb0c","24387089","1770251711","2026-02-05 00:35:11","0x3b8251bc70c4bb687149581b89f57ac75307610b","0x3fb847c3fb6e8bc02b18e7af663a1eaa06e42529","","0.000000001","0","0.00000214635063632769","0.000004982114004","0.0106933635627425","","","","Transfer"
